01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020
2154,3539,2,2,4466,4426,4345,4345,2,4200,2,3902,3954,3980,3996,3902,3996,4026,3910,4039,3997,3712,3902,292,3902,8,4108,292,8,3833,3833,3811,8,2561,3733,3712,3090,2630,3,3,3,2682,3,2630,2682,434,3667,3,3,3299,2760,2760,2760,3,2760,2682,2682,2682,2760,2760,2710,2682,3,2630,3,2561,2509,221,135,6,2,2,1891,2,3,979,1,221,5,6247,434,538,628,3,6247,2,630,2,1524,3,3
6286,4522,4508,223,4467,4427,4386,2,4146,3902,3902,3903,3904,2234,3997,3996,2234,373,237,2234,3502,3787,4066,3787,292,292,4109,3787,3874,3760,3834,3812,3785,8,8,6,6,3158,3158,3158,3090,3535,6,7,434,3158,2630,6,8,3090,3091,3158,434,3038,2804,2760,2760,2760,2804,7,2649,7,7,6,365,436,364,365,2407,288,3,3,1892,3,1524,2150,2,5,288,364,435,539,629,817,364,3,364,630,1525,1524,817
,4511,3539,4430,4468,4271,4271,4346,4271,4146,4146,2912,297,373,297,3997,3905,4027,64,4040,3910,4047,26,4047,3787,3787,2234,3303,3787,3303,3760,3760,18,3760,2354,7,7,6,7,7,3158,6,8,8,7,7,3158,7,2354,3300,3229,6,3090,3039,2854,2804,2804,2804,365,2649,2711,2228,8,365,289,2562,2510,1893,1948,2354,221,7,222,1524,2056,1120,3,222,289,221,436,540,630,6247,6,6247,222,1388,364,817,6247
,4523,4509,4431,4469,4428,4387,4347,4272,4201,4147,3904,2234,3981,373,4006,3910,4028,6289,47,237,3714,4047,297,4094,2234,4110,4122,3303,3386,292,18,2291,292,3734,8,2354,7,3443,1895,7,3536,3562,2354,8,8,8,8,18,3301,3230,288,3091,2854,2855,2854,2561,434,8,2761,17,8,2649,289,8,1893,8,2471,139,291,7,1893,1893,1974,541,297,4,11,11,5,365,541,631,632,365,364,633,1389,541,6247,6274
,4503,4510,2165,4470,223,4348,4271,4273,4202,4148,2234,3790,3866,3790,4007,4017,3910,245,3910,3169,297,3472,373,4095,4104,3865,4047,26,2954,3384,2291,3563,18,3735,2354,292,8,2354,18,1895,8,18,3587,2354,2354,2354,2354,2411,3158,2855,2854,288,2855,8,2855,2909,2853,2354,293,294,2649,17,2631,1895,8,291,8,140,17,288,2228,1894,364,5,31,5,17,290,6,7,221,632,364,7,6,11,1103,437,6274,6
,4504,4431,4503,223,297,4006,4274,3997,4149,3997,373,3906,3955,375,297,237,3543,4032,237,64,373,4067,4084,4047,3910,304,4123,3875,2234,2291,3303,3786,2291,3736,3713,18,1895,1895,3384,439,2354,3384,292,3384,3635,292,18,825,3302,8,2855,3092,819,3003,8,288,2854,2683,2762,2712,2683,2650,18,293,20,292,2354,2408,19,2289,2229,1895,1975,222,34,6,18,291,365,437,6,364,6,288,437,1262,1390,1526,6,1645
,4524,3998,4504,4471,35,4095,4149,4274,4203,4149,3905,3955,3910,3865,373,64,3912,4033,64,6289,38,2234,4085,2234,237,4111,2234,3472,373,3787,223,3787,3303,18,1895,3384,292,292,2291,18,18,2291,18,3159,2291,18,825,25,7,2354,8,2855,2354,3004,2683,2910,2855,1895,17,2713,17,294,294,294,23,294,292,343,6249,1893,19,1896,541,7,2065,7,19,292,222,438,7,6,7,963,8,1263,1391,1104,7,1526
,3450,4511,3054,4472,2154,3307,4348,4275,4204,2912,3906,3910,3543,3910,3981,3956,6286,3959,6289,6290,3866,373,3502,373,310,6286,2154,2954,3865,825,3813,3788,3761,3384,292,546,18,18,825,3384,3384,3563,3384,2291,3636,224,223,26,3230,1396,819,8,2290,2711,293,2855,8,293,2650,6249,2650,2651,20,20,1984,2062,16,2409,23,2229,2230,292,222,2057,290,8,223,293,7,11,6270,7,818,964,964,1104,1264,1391,1645,1104
,4525,309,3450,4473,230,297,4349,4149,4205,4150,3907,3912,64,3998,3909,4018,6289,3962,245,3450,553,3790,3910,4085,4105,245,2236,2236,304,3835,3715,3789,546,3159,18,3699,3384,3384,3471,3496,3496,2411,2411,2411,825,3637,3680,3367,2855,16,2354,819,3040,294,23,8,2683,2291,294,2062,2411,6249,6249,6249,2563,640,223,1336,640,2290,295,1897,1976,2058,17,9,224,18,366,290,11,437,819,965,1102,822,1106,1527,1526,1783
,4073,2165,251,300,4388,4067,4350,4039,4007,3904,3908,3956,6286,3912,3910,6289,3450,3416,3913,1923,3502,655,3743,4028,6286,2578,4085,3009,3866,3836,373,6282,3307,2291,3384,3700,3303,2411,3472,3303,825,20,825,3303,224,2915,3681,3310,8,293,2683,2354,293,3005,25,819,2856,2650,2763,640,294,2062,2564,640,2564,2511,6249,2410,2355,439,2231,1898,1977,2059,18,10,225,294,11,439,440,8,820,966,1103,1264,1392,1528,1105,1391
